Province_State,2020 Cases,2021 Cases,2022 Cases
Alabama,365747,896614,1568934
Alaska,47019,157169,301432
American Samoa,0,10,8266
Arizona,530267,1389708,2378334
Arkansas,229442,570641,985747
California,2434971,5519689,11835450
Colorado,362438,1004704,1734782
Connecticut,185708,510188,949324
Delaware,58064,183880,321888
Diamond Princess,49,49,49
District of Columbia,29252,94286,173386
Florida,1323315,4209927,7338503
Georgia,677589,1839879,2985193
Grand Princess,103,103,103
Guam,7326,19618,60020
Hawaii,22397,115642,372198
Idaho,141077,319382,511601
Illinois,963389,2149574,3969832
Indiana,517773,1246854,2002760
Iowa,282980,575501,886411
Kansas,229822,520134,917065
Kentucky,265261,856145,1662581
Louisiana,315275,828695,1514113
Maine,24902,146736,306647
Maryland,280219,735723,1318234
Massachusetts,375178,1140614,2154886
Michigan,528621,1710325,2988654
Minnesota,415302,1022212,1736893
Mississippi,218386,543737,955145
Missouri,445019,1013458,1732724
Montana,81555,197724,323055
Nebraska,167716,338257,555114
Nevada,227046,484641,876118
New Hampshire,45932,198667,367542
New Jersey,535043,1596644,2926834
New Mexico,144142,350043,659056
New York,995816,3517696,6576267
North Carolina,539545,1686667,3316814
North Dakota,92215,174516,280818
Northern Mariana Islands,122,3287,13319
Ohio,700380,2016095,3307568
Oklahoma,291209,708938,1250013
Oregon,113909,421263,939303
Pennsylvania,657071,2059613,3416142
Puerto Rico,77054,272724,1054239
Rhode Island,87949,231096,443645
South Carolina,307507,975320,1770059
South Dakota,99164,179204,271856
Tennessee,592168,1443795,2440840
Texas,1822635,4679048,8211474
Utah,276612,636992,1074828
Vermont,7412,64447,148393
Virgin Islands,2036,9648,23781
Virginia,354766,1118518,2199302
Washington,246752,849075,1883676
West Virginia,87820,328162,624721
Wisconsin,522523,1120663,1960878
Wyoming,44409,115638,182847
